У Вас есть прайс-лист по доработкам CRM-системы?,Фиксированного прайс-листа по доработкам CRM-системы нет. Каждая задача будет оценена в сервисных часах отдельно. Стоимость часа зависит от пакета: http://salesplatform.ru/tarifs/66-tarifssupport.html
Какова стоимость услуги на доработки Vtiger CRM?,Каждая задача по доработке SalesPlatform Vtiger CRM оценивается в сервисных часах отдельно. Стоимость часа зависит от пакета: http://salesplatform.ru/tarifs/66-tarifssupport.html
Вы осуществляете доработку Vtiger CRM?,Наша компания оказывает услуги по доработке SalesPlatform Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в сервисных часах. С тарифами Вы можете ознакомится здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html
Могу ли я поговорить с владельцем компании SalesPlatform?,"Вы можете связаться с нами по телефонам: (495) 204-36-51, (812) 244-71-51 или E-mail: sales@salesplatform.ru"
Какова стоимость в облачном решении на одного человека в месяц?,"Стоимость облачного решения SalesPlatform Vtiger CRM на одного человека в месяц составляет 500 руб., минимум должно быть два пользователя http://salesplatform.ru/tarifs/37-tarifssaas.html"
Какие входят модули в базовую комплектацию Vtiger CRM?,"Для того, чтобы узнать какие модули входят в базовую комплектацию SalesPlatform Vtiger CRM Вам необходимо заполнить форму на странице: http://salesplatform.ru/getdemo.html и Вы получите доступ к демо-версии системы. Документация с перечнем функциональности: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640"
У Вас есть демо-версия для администратора CRM-системы?,Для тестирования системы с правами администратора Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html
Где можно скачать загрузить дистрибутив Vtiger CRM?,Загрузить дистрибутив SalesPlatform Vtiger CRM можно по ссылке: http://community.salesplatform.ru/download/
Какова стоимость установки Vtiger CRM на нашем сервере + IP-телефония + сопровождение?,"Стоимость установки решения SalesPlatform Vtiger CRM + IP-телефония составляет 53 700 р., пакеты сопровождения по ссылке: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Какова стоимость услуги интеграции Vtiger CRM с нашей IP-АТС Asterisk?,Услуга интеграции Vtiger CRM с вашей IP-АТС Asterisk потребует 30 сервисных часов: http://salesplatform.ru/tarifs/66-tarifssupport.html
"Я из Украины, Казахстана, Кыргыстана, Киргизии, Белоруссии, как можно произвести оплату?","Если Вы из Украины, Казахстана, Кыргыстана, Киргизии, Белоруссии оплату можно произвести кредитными картами, PayPal, WebMoney."
Какие минимальные требования к ресурсам сервера?,"Минимальные требования к ресурсам сервера: 2 Гб оперативной памяти, жесткий диск - 20 Гб, процессор - 1 ядро x 2ГГц. На сервере должна быть установлена ОС Linux (рекомендуем Debian)."
Где можно посмотреть прайс-лист Ваших услуг?,"Прайс-лист услуг нашей компании ""SalesPlatform"" можно посмотреть на сайте: http://salesplatform.ru/, тарифы: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Какова стоимость решения Vtiger CRM для розничной сети?,"Стоимость решения Vtiger CRM для розничной сети зависит от количества требований, минимально возможный вариант - тариф ""30"" http://salesplatform.ru/tarifs/66-tarifssupport.html "
Каким образом можно посмотреть демо-версию CRM-системы?,"Для того, чтобы посмотреть демо-версию CRM-системы Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней."
Можно ли заказать Skype-презентацию CRM-системы? ,"Для того, чтобы заказать Skype-презентацию CRM-системы Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html, мы перезвоним Вам и согласуем удобное время презентации по Skype."
У Вас есть описание системы Vtiger CRM?,"Описание системы Vtiger CRM представлено в документации с перечнем функциональности: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640. Скринкаст  о Типовом процессе продаж в SalesPlatform Vtiger CRM: http://www.youtube.com/watch?v=qy-_EaM-K58, скринкаст по телефонии: http://www.youtube.com/watch?v=aGNdADMHUWk"
В Vtiger CRM все поля нужно самим настраивать под свою компанию?,"В Vtiger CRM все поля можно самостоятельно настраивать под свою компанию, либо можно подключить услуги наших специалистов для этой цели: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Как можно заключить договор с Вашей компанией?,"Для того, чтобы заключить договор с нашей компанией ""SalesPlatform""  Вам необходимо прислать реквизиты организации для оформления договора на sales@salesplatform.ru или заполните форму заказа: http://salesplatform.ru/order-form.html. "
Как можно получить тестовый доступ к CRM-системе с телефонией?,"Для того, чтобы получить тестовый доступ к CRM-системе с телефонией Вам необходимо заполнить форму на странице: http://salesplatform.ru/solutions/62-servicescrmasterisk.html и получить тестовый доступ к Vtiger CRM + IP-телефония на 15 дней."
Можно ли заполнять карточку клиента во время разговора?,Во время разговора с Клиентом Вы сможете параллельно заполнять карточку Клиента.
Надо ли устанавливать дополнительное программное обеспечение для работы с Vtiger CRM?,"Дополнительное программное обеспечение для работы с Vtiger CRM устанавливать не требуется, можно начать пользоваться системой при помощи браузера Интернет."
Имеется ли возможность осуществлять автообзвон базы клиентов?,Возможно осуществлять автообзвон базы клиентов при помощи SIP-софтфона или мобильного телефона.
Как происходит обновление доработок при выходе новой версии Vtiger CRM?,"При выходе новой версии Vtiger CRM обновление доработок Вы можете заказать в нашей компании ""SalesPlarform"", рекомендуется использовать тариф 30. "
Можно ли осуществить детальную настройку Vtiger CRM с подключением телефонии?,"Вы можете заказать детальную настройку Vtiger CRM с подключением телефонии в нашей компания ""SalesPlatform"". Стоимость сервисного часа от 1 590 руб. Пакеты часов технической поддержки и сопровождения можно посмотреть здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Сколько стоит один сервисный нормо час работы?,Один час стоит от 1 490 р. Пакеты часов технической поддержки и сопровождения: http://salesplatform.ru/tarifs/66-tarifssupport.html
В пакет 30 входит установка на нашем сервере Астериска или необходим уже готовый Астериск?,"В пакет 30 входит установка Астериска на Вашем сервере. В таблице:  http://salesplatform.ru/tarifs/66-tarifssupport.html перечислено то, какие работы могут осуществляться. Каждая заявка оценивается отдельно."
Как можно провести консультацию по поводу работ необходимых нашей компании?,"Для того, чтобы провести консультацию по поводу работ необходимых Вашей компании Вам необходимо присласть перечень Ваших пожеланий на sales@salesplatform.ru  далее мы Вам предложим скайп-кол с обсуждением. Другой вариант, это сразу купить пакет часов и начать с заявок по настройке системы совместно с нашим аналитиком."
Какова стоимость установки Вашей системы и ее обслуживание?,"Стоимость установки системы на Ваш сервер и ее обслуживание (6 часов сопровождения ) стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Вы предоставляете услуги доработки функционала Vtiger CRM?,"Наша компания ""SalesPlatform"" предоставляет услуги доработки функционала Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Можно ли скачать и пользоваться системой Vtiger CRM бесплатно?,"Для того, чтобы скачать и пользоваться системой Vtiger CRM бесплатно  перейдите на страницу: http://community.salesplatform.ru/download/."
Нужно немного доработать функционал Vtiger CRM.,"Наша компания ""SalesPlatform"" предоставляет услуги  доработки функционала Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в часах (стоимость сервисного часа от 1 590 руб.). Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html "
Оплата на телефон возможна?,"Оплата услуг компании ""SalesPlatform"" возможна на телефон при помощи сервиса Робокасса и других сервисов."
Сколько будут стоить услуги Вашей компании по автоматизации услуг сервиса?,"Стоимость услуги нашей компании ""SalesPlatform"" по автоматизации услуг сервиса рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html"
"Какова стоимость услуги по созданию нового Модуля для системы Vtiger CRM, дополнительного Модуля?","Cтоимость услуги по созданию нового Модуля, дополнительного Модуля для системы Vtiger CRM рассчитывается на основе трудоемкости в часах, рекомендуется тариф ""30"": http://salesplatform.ru/tarifs/66-tarifssupport.html. "
"Вы предоставляете услуги консультации по проблемам, возникающих при настройке или модификации Модуля Vtiger CRM?","Наша компания ""SalesPlatform"" предоставляет услуги консультации по проблемам, возникающих при настройке или модификации Модуля Vtiger CRM на почасовой основе через наш Клиентский портал, начиная от тарифа ""30"": http://salesplatform.ru/tarifs/66-tarifssupport.html"
Какова стоимость установки на наш сервер Vtiger CRM с телефонией?,"Стоимость установки на Ваш сервер Vtiger CRM с телефонией осуществляются в рамках пакета сопровождения ""30"" по стоимости 53700 руб. Из них 20 - установка и настройка под ключ, еще 10 - на дальнейшее сопровождение системы. Также возможно подключить типовое решение на выделенный виртуальный сервер у нашего партнера - облачного провайдера ИТ-Град. Стоимость такого решения 25330 руб. Стоимость не зависит от числа пользователей."
Как можно осуществить резервное копирование в Vtiger CRM?,"Для того, чтобы осуществить резервное копирование в Vtiger CRM Вам необходимо использовать специальное программное обеспечение по резервному копированию на удаленный ftp-сервер (БД и кода). В рамках услуг по поддержке наши специалисты смогут выполнить данную задачу."
Ваша система Vtiger CRM интегрируется с астериском?,"Система Vtiger CRM интегрируется с астериском, данную услугу Вы сможете заказать в нашей компании ""SalesPlatform"": http://salesplatform.ru/services/72-servicesasteriskintegration.html"
Как тарифицируется Vtiger CRM по количеству рабочих мест?,"Базовая услуга установки Vtiger CRM на Ваш сервер + 6 часов сопровождения стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"
"Какова стоимость установки Vtiger CRM на Вашем сервере, на облачном сервисе, на виртуальном сервере?","Стоимость установки Vtiger CRM на нашем сервере, на облачном сервисе, на виртуальном сервере  составляет 17940 руб. Стоимость услуги установки и настройки Vtiger CRM + IP телефония Asterisk (включает виртуальную АТС, интегрированную с CRM) - 24900 руб. Во всех вариантах стоимость включает 6 сервисных часов дополнительного обслуживания нашими специалистами."
Есть ли у Вас демо-версии для тестирования Vtiger CRM?,"Для того, чтобы воспользоваться демо-версией для тестирования Vtiger CRM Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней."
Какова стоимость интеграции 1С с Vtiger CRM?,"Стоимость интеграции Vtiger CRM с 1С зависит от количества типов синхронизируемых документов, 19900 руб. за один вид документа. Например, синхронизация контрагентов из 1С в CRM и счетов из CRM в 1С будет стоить 39800 руб.  За каждый элемент интеграции (счета, контрагенты и т.д., с учетом направления передачи информации (1С->CRM или CRM->1C)) - по 10 сервисных часов."
Каким образом можно работать с Vtiger CRM с мобильного устройства?,"Для того, чтобы можно было работать с Vtiger CRM с мобильного устройства Вы можете использовать мобильные приложения на выбор для Android и iOS ( можно скачать из Google Play (appstore)). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете."
"У Вас есть курсы, книги для разработчиков на базе Vtiger CRM?","В нашей компании ""SalesPlatform"" не предусмотрены курсы, книги для разработчиков на базе Vtiger CRM, основной источник информации по Vtiger CRM для разработчиков здесь: https://www.vtiger.com/developers/"
Как открыть диалоговое окно для входа в систему Vtiger CRM?,"Для того, чтобы открыть диалоговое окно для входа в систему Vtiger CRM  Вам необходимо перейти по ссылке указанной в письме, далее введите логин и пароль."
Возможно ли подключить IP-телефонию к Vtiger CRM?,"Подключение IP-телефонии к Vtiger CRM возможно, нашей компанией ""SalesPlatform"" разработано готовое решения ""Vtiger CRM + IP-телефония Asterisk"", описание на странице: http://salesplatform.ru/solutions/62-servicescrmasterisk.html"
Возможно ли свою телефонию интегрировать с Vtiger CRM?,"Для того, чтобы интегрировать Вашу телефонию с Vtiger CRM потребуется 20 сервисных часов: http://salesplatform.ru/tarifs/66-tarifssupport.html"
У Вас есть мобильное приложение для Vtiger CRM?,"Мобильные приложения для Vtiger CRM  под Android и iOS можно скачать из Google Play (appstore). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете."
Есть у Вас клиент под мобильные платформы?,"Клиент под мобильные платформы (Android и iOS) можно скачать из Google Play (appstore). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете."
В Vtiger CRM можно просматривать загруженные файлы?,"Встроенного просмотра загруженных файлов в Vtiger CRM нет, документ может быть загружен и открыт для просмотра на компьютере."
Какие есть отличия у Vtiger CRM от остальных CRM-систем?,"Отличия Vtiger CRM от остальных CRM-систем заключаются в следующем: Vtiger является полнофункциональной CRM-системой с дополнительными функциями управления проектами, HelpDesk, управления маркетингом и др. Основное отличие - открытый исходный код, возможность сколько угодно гибкой адаптации под Ваши требования."
В чем отличия Vtiger CRM от других CRM-систем?,"Отличия Vtiger CRM от других CRM-систем заключаются в следующем: Vtiger является полнофункциональной CRM-системой с дополнительными функциями управления проектами, HelpDesk, управления маркетингом и др. Основное отличие - открытый исходный код, возможность сколько угодно гибкой адаптации под Ваши требования."
Какова стоимость установки Vtiger CRM?,"Стоимость установки Vtiger CRM на Ваш сервер и ее обслуживание (6 часов сопровождения ) стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"
"Что входит в стоимость готового решения ""CRM + IP-телефония""?","В стоимость готового решения ""CRM + IP-телефония"" помимо установки и начальной настройки входят 6 сервисных часов технической поддержки и сопровождения."
Где находится виртуальный сервер?,"Виртуальный сервер находится у партнера нашей компании ""SalesPlatform"" - облачного провайдера ИТ-Град. Их дата-центры находятся в Санкт-Петербурге и Москве."
"Что делать, если после успешной установки Vtiger CRM появится ошибка или произойдет сбой?","Если после успешной установки Vtiger CRM появится ошибка или произойдет сбой и Вы будете подключены к порталу нашей технической поддержки, в котором Вы сможете отправлять нам заявки. Все заявки будут реализованы в рамках услуг сопровождения. После исчерпания 6 сервисных часов, входящих в стоимость решения, Вы сможете дополнительно приобрести любой доступный пакет сервисных часов."
Настройка бизнес-процессов входит в стоимость Vtiger CRM?,"Настройка бизнес-процессов не входит в стоимость Vtiger CRM, так как за 6 сервисных часов можно выполнить только начальные настройки Vtiger CRM? "
Какой срок запуска Vtiger CRM?,Срок запуска Vtiger CRM выполняется в течение одного рабочего дня с момента получения оплаты.
В течение какого времени Вы установите Vtiger CRM?,Cтандартная установка Vtiger CRM выполняется в течение одного рабочего дня с момента получения оплаты.
Какова стоимость внедрения Вашей CRM-системы?,"Стоимость внедрения CRM-системы на наш сервер и ее обслуживание (6 часов сопровождения ) стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"
Нужно ли дополнительное оборудование для работы Астериск?,Для работы Астериск не нужно дополнительного оборудования.
Как получить доступ к тест аккаунту?,"Для того, чтобы получить доступ к тест аккаунту Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней."
Какие языки поддерживает Vtiger CRM?,"Система Vtiger CRM поддерживает несколько десятков языков, английский и русский языки включены по умолчанию."
Возможно ли изменять шаблоны в Vtiger CRM?,Шаблоны в Vtiger CRM возможно изменять в полной версии Vtiger CRM.
Где можно скачать языки для Vtiger CRM?,"Языки для Vtiger CRM можно скачать здесь: https://marketplace.vtiger.com/app/listings, выберите вкладку ""Language Packs""."
У Вас есть условия партнерской программы?,"Условия партнерской программы зависят от формата и вида партнерства. Просьба описать, в каких услугах или решениях Вы хотите стать партнером компании ""SalesPlatform"". Просьба прислать на sales@salesplatform.ru"
Есть ли возможность зайти под администратором в демо-версию Vtiger CRM?,"Для того, чтобы зайти под администратором в демо-версию Vtiger CRM Вам необходимо заполнить форму на странице: http://salesplatform.ru/getdemo.html и Вы получите тестовый доступ к настройкам Vtiger CRM на 15 дней."
Документация Vtiger CRM актульна для Вашей CRM-системы?,"Документация Vtiger CRM актульна для нашей CRM-системы, документация доступна по ссылке: http://salesplatform.ru/wiki/index.php/SalesPlatform_vtiger_crm_640"
Вы оказываете услуги по доработке CRM-системы?,"Наша компания ""SalesPlatform"" оказываете услуги по доработке CRM-системы: автоматизация бизнеса, разработка сложных интернет-сервисов, а также осуществлене технической поддержки и сопровождения CRM-системы."
В чем отличия SalesPlatform Vtiger CRM от системы Vtiger CRM?,"Отличия SalesPlatform Vtiger CRM от системы Vtiger CRM заключаются в следующем: В системе SalasPlatform Vtiger CRM улучшенная локализация; поддержка UTF-8; Шаблоны PDF; Модули: Акты, Реализации, Платежи; единицы измерения; интеграция с 1С по протоколу CommerceML; интеграция с соц. сетями; интеграция с КЛАДР; интеграция с IP-телефонией и исправлены некоторые функциональные ошибки. Каждый релиз CRM-системы содержит перечень доработок, основная информация тут: http://community.salesplatform.ru/2014/10/07/salesplatform-vtiger-crm-610-201410-release/"
Ваша Vtiger CRM платная?,Система Vtiger CRM не является платной системой?
Как происходит сопровождение Vtiger CRM?,"Сопровождение Vtiger CRM приобретается, если требуются какие-то дополнительные настройки. Оплата почасовая, есть пакеты часов (6, 30, 60). Абонентской платы нет."
Возможно ли выбрать любого оператора IP-телефонии?,"Имеется возможность  выбрать любого оператора IP-телефонии для Vtiger CRM, наши специалисты выполнят настройку внешней линии."
Вы дорабатываете Vtiger CRM?,"Наша компания ""SalesPlatform"" предоставляет услуги по доработке Vtiger CRM, это одна из основных услуг нашей компании ""SalesPlatform""."
Как подключить на андроид приложение?,"Для того, чтобы подключить на андроид (Android или iOS) приложение, его можно скачать из Google Play (appstore). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете."
Для чего нужен Zoiper?,"Zoiper - это приложение для IP-телефонии, его можно использовать совместно с нашим решением ""Vtiger CRM + IP телефония Asterisk""."
Как сменить логотип компании на главной странице Vtiger CRM?,"Для того, чтобы сменить логотип компании на главной странице Vtiger CRM  необходимо зайти в настройки Vtiger CRM в разделе ""Данные организации""."
Как можно грамотно подготовить ТЗ?,"Для того, чтобы подготовить ТЗ Вам достаточно изложить свои пожелания в свободной форме, далее аналитик нашей компании ""SalesPlatform"" изучит их, сопоставит с возможностями системы и предложит оптимальное решение, после чего составит ТЗ."
