Как можно получить тестовый доступ к CRM-системе с телефонией?,"Для того, чтобы получить тестовый доступ к CRM-системе с телефонией Вам необходимо заполнить форму на странице: http://salesplatform.ru/solutions/62-servicescrmasterisk.html и получить тестовый доступ к Vtiger CRM + IP-телефония на 15 дней.","CRM, Тестирование"
Можно ли заполнять карточку клиента во время разговора?,Во время разговора с Клиентом Вы сможете параллельно заполнять карточку Клиента.,"CRM, Консалтинг"
Надо ли устанавливать дополнительное программное обеспечение для работы с Vtiger CRM?,"Дополнительное программное обеспечение для работы с Vtiger CRM устанавливать не требуется, можно начать пользоваться системой при помощи браузера Интернет.","CRM, Консалтинг"
Имеется ли возможность осуществлять автообзвон базы клиентов?,Возможно осуществлять автообзвон базы клиентов при помощи SIP-софтфона или мобильного телефона.,"CRM, Консалтинг, Телефония"
Как происходит обновление доработок при выходе новой версии Vtiger CRM?,"При выходе новой версии Vtiger CRM обновление доработок Вы можете заказать в нашей компании ""SalesPlarform"", рекомендуется использовать тариф 30. ","CRM, Консалтинг"
Можно ли осуществить детальную настройку Vtiger CRM с подключением телефонии?,"Вы можете заказать детальную настройку Vtiger CRM с подключением телефонии в нашей компания ""SalesPlatform"". Стоимость сервисного часа от 1 590 руб. Пакеты часов технической поддержки и сопровождения можно посмотреть здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html","Телефония, CRM"
Сколько стоит один сервисный нормо час работы?,Один час стоит от 1 490 р. Пакеты часов технической поддержки и сопровождения: http://salesplatform.ru/tarifs/66-tarifssupport.html,Коммерция
В пакет 30 входит установка на нашем сервере Астериска или необходим уже готовый Астериск?,"В пакет 30 входит установка Астериска на Вашем сервере. В таблице:  http://salesplatform.ru/tarifs/66-tarifssupport.html перечислено то, какие работы могут осуществляться. Каждая заявка оценивается отдельно.","Телефония, Консалтинг"
Как можно провести консультацию по поводу работ необходимых нашей компании?,"Для того, чтобы провести консультацию по поводу работ необходимых Вашей компании Вам необходимо присласть перечень Ваших пожеланий на sales@salesplatform.ru  далее мы Вам предложим скайп-кол с обсуждением. Другой вариант, это сразу купить пакет часов и начать с заявок по настройке системы совместно с нашим аналитиком.","Консалтинг, CRM"
Какова стоимость установки Вашей системы и ее обслуживание?,"Стоимость установки системы на Ваш сервер и ее обслуживание (6 часов сопровождения ) стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html","Коммерция, CRM"
Вы предоставляете услуги доработки функционала Vtiger CRM?,"Наша компания ""SalesPlatform"" предоставляет услуги доработки функционала Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html","Консалтинг, CRM"
Можно ли скачать и пользоваться системой Vtiger CRM бесплатно?,"Для того, чтобы скачать и пользоваться системой Vtiger CRM бесплатно  перейдите на страницу: http://community.salesplatform.ru/download/.","CRM, Коммерция"
Нужно немного доработать функционал Vtiger CRM.,"Наша компания ""SalesPlatform"" предоставляет услуги  доработки функционала Vtiger CRM. Стоимость рассчитывается на основе трудоемкости в часах (стоимость сервисного часа от 1 590 руб.). Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html ","Консалтинг, CRM"
Оплата на телефон возможна?,"Оплата услуг компании ""SalesPlatform"" возможна на телефон при помощи сервиса Робокасса и других сервисов.",Коммерция
Сколько будут стоить услуги Вашей компании по автоматизации услуг сервиса?,"Стоимость услуги нашей компании ""SalesPlatform"" по автоматизации услуг сервиса рассчитывается на основе трудоемкости в часах. Тарифы здесь: http://salesplatform.ru/tarifs/66-tarifssupport.html","CRM, Сервер"
"Какова стоимость услуги по созданию нового Модуля для системы Vtiger CRM, дополнительного Модуля?","Cтоимость услуги по созданию нового Модуля, дополнительного Модуля для системы Vtiger CRM рассчитывается на основе трудоемкости в часах, рекомендуется тариф ""30"": http://salesplatform.ru/tarifs/66-tarifssupport.html. ","CRM, Коммерция"
"Вы предоставляете услуги консультации по проблемам, возникающих при настройке или модификации Модуля Vtiger CRM?","Наша компания ""SalesPlatform"" предоставляет услуги консультации по проблемам, возникающих при настройке или модификации Модуля Vtiger CRM на почасовой основе через наш Клиентский портал, начиная от тарифа ""30"": http://salesplatform.ru/tarifs/66-tarifssupport.html","Консалтинг, CRM"
Какова стоимость установки на наш сервер Vtiger CRM с телефонией?,"Стоимость установки на Ваш сервер Vtiger CRM с телефонией осуществляются в рамках пакета сопровождения ""30"" по стоимости 53700 руб. Из них 20 - установка и настройка под ключ, еще 10 - на дальнейшее сопровождение системы. Также возможно подключить типовое решение на выделенный виртуальный сервер у нашего партнера - облачного провайдера ИТ-Град. Стоимость такого решения 25330 руб. Стоимость не зависит от числа пользователей.","Коммерция, Телефония"
Как можно осуществить резервное копирование в Vtiger CRM?,"Для того, чтобы осуществить резервное копирование в Vtiger CRM Вам необходимо использовать специальное программное обеспечение по резервному копированию на удаленный ftp-сервер (БД и кода). В рамках услуг по поддержке наши специалисты смогут выполнить данную задачу.","CRM, Консалтинг"
Ваша система Vtiger CRM интегрируется с астериском?,"Система Vtiger CRM интегрируется с астериском, данную услугу Вы сможете заказать в нашей компании ""SalesPlatform"": http://salesplatform.ru/services/72-servicesasteriskintegration.html","CRM, Интеграция, Телефония, Консалтинг"
Как тарифицируется Vtiger CRM по количеству рабочих мест?,"Базовая услуга установки Vtiger CRM на Ваш сервер + 6 часов сопровождения стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"," CRM, Коммерция"
"Какова стоимость установки Vtiger CRM на Вашем сервере, на облачном сервисе, на виртуальном сервере?","Стоимость установки Vtiger CRM на нашем сервере, на облачном сервисе, на виртуальном сервере  составляет 17940 руб. Стоимость услуги установки и настройки Vtiger CRM + IP телефония Asterisk (включает виртуальную АТС, интегрированную с CRM) - 24900 руб. Во всех вариантах стоимость включает 6 сервисных часов дополнительного обслуживания нашими специалистами."," CRM, Коммерция"
Есть ли у Вас демо-версии для тестирования Vtiger CRM?,"Для того, чтобы воспользоваться демо-версией для тестирования Vtiger CRM Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней."," Тестирование, CRM"
Какова стоимость интеграции 1С с Vtiger CRM?,"Стоимость интеграции Vtiger CRM с 1С зависит от количества типов синхронизируемых документов, 19900 руб. за один вид документа. Например, синхронизация контрагентов из 1С в CRM и счетов из CRM в 1С будет стоить 39800 руб.  За каждый элемент интеграции (счета, контрагенты и т.д., с учетом направления передачи информации (1С->CRM или CRM->1C)) - по 10 сервисных часов."," Коммерция, Интеграция"
Каким образом можно работать с Vtiger CRM с мобильного устройства?,"Для того, чтобы можно было работать с Vtiger CRM с мобильного устройства Вы можете использовать мобильные приложения на выбор для Android и iOS ( можно скачать из Google Play (appstore)). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете.","Консалтинг, CRM"
"У Вас есть курсы, книги для разработчиков на базе Vtiger CRM?","В нашей компании ""SalesPlatform"" не предусмотрены курсы, книги для разработчиков на базе Vtiger CRM, основной источник информации по Vtiger CRM для разработчиков здесь: https://www.vtiger.com/developers/"," Консалтинг, CRM"
Как открыть диалоговое окно для входа в систему Vtiger CRM?,"Для того, чтобы открыть диалоговое окно для входа в систему Vtiger CRM  Вам необходимо перейти по ссылке указанной в письме, далее введите логин и пароль."," Консалтинг, CRM"
Возможно ли подключить IP-телефонию к Vtiger CRM?,"Подключение IP-телефонии к Vtiger CRM возможно, нашей компанией ""SalesPlatform"" разработано готовое решения ""Vtiger CRM + IP-телефония Asterisk"", описание на странице: http://salesplatform.ru/solutions/62-servicescrmasterisk.html","Консалтинг, Телефония"
Возможно ли свою телефонию интегрировать с Vtiger CRM?,"Для того, чтобы интегрировать Вашу телефонию с Vtiger CRM потребуется 20 сервисных часов: http://salesplatform.ru/tarifs/66-tarifssupport.html","Консалтинг, Телефония"
У Вас есть мобильное приложение для Vtiger CRM?,"Мобильные приложения для Vtiger CRM  под Android и iOS можно скачать из Google Play (appstore). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете.","Консалтинг, CRM, Интеграция"
Есть у Вас клиент под мобильные платформы?,"Клиент под мобильные платформы (Android и iOS) можно скачать из Google Play (appstore). Приложения предназначены для Vtiger CRM, но они также могут работать с диcтрибутивом salesplatform. Также можно открывать web-интерфейс CRM-системы из браузера на смартфоне или планшете.","Консалтинг, CRM, Интеграция"
В Vtiger CRM можно просматривать загруженные файлы?,"Встроенного просмотра загруженных файлов в Vtiger CRM нет, документ может быть загружен и открыт для просмотра на компьютере.","Консалтинг, CRM"
Какие есть отличия у Vtiger CRM от остальных CRM-систем?,"Отличия Vtiger CRM от остальных CRM-систем заключаются в следующем: Vtiger является полнофункциональной CRM-системой с дополнительными функциями управления проектами, HelpDesk, управления маркетингом и др. Основное отличие - открытый исходный код, возможность сколько угодно гибкой адаптации под Ваши требования."," Консалтинг, CRM"
В чем отличия Vtiger CRM от других CRM-систем?,"Отличия Vtiger CRM от других CRM-систем заключаются в следующем: Vtiger является полнофункциональной CRM-системой с дополнительными функциями управления проектами, HelpDesk, управления маркетингом и др. Основное отличие - открытый исходный код, возможность сколько угодно гибкой адаптации под Ваши требования."," Консалтинг, CRM"
Какова стоимость установки Vtiger CRM?,"Стоимость установки Vtiger CRM на Ваш сервер и ее обслуживание (6 часов сопровождения ) стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"," CRM, Коммерция"
"Что входит в стоимость готового решения ""CRM + IP-телефония""?","В стоимость готового решения ""CRM + IP-телефония"" помимо установки и начальной настройки входят 6 сервисных часов технической поддержки и сопровождения."," CRM, Коммерция"
Где находится виртуальный сервер?,"Виртуальный сервер находится у партнера нашей компании ""SalesPlatform"" - облачного провайдера ИТ-Град. Их дата-центры находятся в Санкт-Петербурге и Москве.","Сервер, Консалтинг"
"Что делать, если после успешной установки Vtiger CRM появится ошибка или произойдет сбой?","Если после успешной установки Vtiger CRM появится ошибка или произойдет сбой и Вы будете подключены к порталу нашей технической поддержки, в котором Вы сможете отправлять нам заявки. Все заявки будут реализованы в рамках услуг сопровождения. После исчерпания 6 сервисных часов, входящих в стоимость решения, Вы сможете дополнительно приобрести любой доступный пакет сервисных часов."," CRM, Консалтинг"
Настройка бизнес-процессов входит в стоимость Vtiger CRM?,"Настройка бизнес-процессов не входит в стоимость Vtiger CRM, так как за 6 сервисных часов можно выполнить только начальные настройки Vtiger CRM? "," CRM, Коммерция"
Какой срок запуска Vtiger CRM?,Срок запуска Vtiger CRM выполняется в течение одного рабочего дня с момента получения оплаты.," CRM, Консалтинг"
В течение какого времени Вы установите Vtiger CRM?,Cтандартная установка Vtiger CRM выполняется в течение одного рабочего дня с момента получения оплаты.," CRM, Консалтинг"
Какова стоимость внедрения Вашей CRM-системы?,"Стоимость внедрения CRM-системы на наш сервер и ее обслуживание (6 часов сопровождения ) стоит 22940 руб.: http://salesplatform.ru/tarifs/20-tarifsconfiguration.html. При использовании системы в режиме SaaS: http://salesplatform.ru/tarifs/37-tarifssaas.html на пользователя системы,  ежемесячная абонентская плата состовляет 500р. Техническая поддержка и сопровождение: http://salesplatform.ru/tarifs/66-tarifssupport.html"," CRM, Коммерция"
Нужно ли дополнительное оборудование для работы Астериск?,Для работы Астериск не нужно дополнительного оборудования.,"Консалтинг, Телефония"
Как получить доступ к тест аккаунту?,"Для того, чтобы получить доступ к тест аккаунту Вам необходимо заполнить форму на странице: http://salesplatform.ru/order-form.html и Вы получите доступ к демо-версии системы Vtiger CRM на 15 дней.","CRM, Тестирование"
Какие языки поддерживает Vtiger CRM?,"Система Vtiger CRM поддерживает несколько десятков языков, английский и русский языки включены по умолчанию."," CRM, Консалтинг"
Возможно ли изменять шаблоны в Vtiger CRM?,Шаблоны в Vtiger CRM возможно изменять в полной версии Vtiger CRM.," CRM, Консалтинг"
Где можно скачать языки для Vtiger CRM?,"Языки для Vtiger CRM можно скачать здесь: https://marketplace.vtiger.com/app/listings, выберите вкладку ""Language Packs""."," CRM, Консалтинг"
У Вас есть условия партнерской программы?,"Условия партнерской программы зависят от формата и вида партнерства. Просьба описать, в каких услугах или решениях Вы хотите стать партнером компании ""SalesPlatform"". Просьба прислать на sales@salesplatform.ru",Коммерция
Есть ли возможность зайти под администратором в демо-версию Vtiger CRM?,"Для того, чтобы зайти под администратором в демо-версию Vtiger CRM Вам необходимо заполнить форму на странице: http://salesplatform.ru/getdemo.html и Вы получите тестовый доступ к настройкам Vtiger CRM на 15 дней.","CRM, Тестирование, Консалтинг"
